ID,Author,Group,Year,Focal_insect,Focal_insect_resolved_name,F_Guild,Focal_insect_diet_breadth,Competing_insect,Competing_insect_resolved_name,C_Guild,Competing_insect_diet_breadth,Host_plant,Phylogenetic_distance_between_focal_insect_and_competing_insect,Spatial_separation,temporal_separation,Fitness_component,Control_mean,Control_standard_error,Control_standard_deviation,Control_sample_size,Experimental_mean,Experimental_standard_error,Experimental_standard_deviation,Experimental_sample_size,yi_g,vi
784,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,38.9,2.95,6.596400534,5,45.79,1.96,4.382693236,5,-1.110643067,0.461676401
785,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,45.77,2.39,5.344202466,5,46.88,2.53,5.657251983,5,-0.182084158,0.401657732
786,Hunter_3,HunterM,1989,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Quercus rubra,208.843046,no separation,no separation,Body_size,37.5,3.56,7.960402,5,33.29,1.07,2.392592736,5,0.64658658,0.42090371
787,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,36.72,2.06,4.606300034,5,43.65,3.03,6.775285972,5,-1.079839518,0.458302669
788,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,29.78,1.77,3.95784032,5,36.87,2.54,5.679612663,5,-1.307484492,0.485475785
789,Hunter_3,HunterM,1989,Operophtera_brumata,"Operophtera brumata Linnaeus, 1758",Chewer,12,Tortrix_viridana,Tortrix viridana Linnaeus- 1758,Chewer,9,Quercus rubra,208.843046,no separation,no separation,Body_size,36.4,1.19,2.660920893,5,41.17,1.13,2.526756815,5,-1.65949231,0.537695736
790,Inbar_1,Inbar,1999,Liriomyza_trifolii,"Liriomyza trifolii Burgess, 1880",Internal_feeder,29,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Lycopersicon esculentum,NA,no separation,complete,Fecundity,18.6,2.7,13.22724461,24,12.9,4.4,21.55550974,24,0.313509293,0.084357167
791,Inbar_1,Inbar,1999,Liriomyza_trifolii,"Liriomyza trifolii Burgess, 1880",Internal_feeder,29,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Lycopersicon esculentum,NA,no separation,complete,Survival,8.136,NA,NA,24,8.376,4.1,20.08581589,24,0.026858189,0.135661764
792,Inbar_1,Inbar,1999,Liriomyza_trifolii,"Liriomyza trifolii Burgess, 1880",Internal_feeder,29,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Lycopersicon esculentum,NA,spatial separation,complete,Fecundity,0.37,0.4,1.959591794,24,0.28,0.4,1.959591794,24,0.045174327,0.083354591
793,Inbar_1,Inbar,1999,Liriomyza_trifolii,"Liriomyza trifolii Burgess, 1880",Internal_feeder,29,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Lycopersicon esculentum,NA,spatial separation,complete,Survival,6.96,NA,NA,24,3.84,NA,NA,24,-0.462329715,0.188203287
